product_id,license_number,license_year,chinese_name,english_name,dosage_form_raw,dosage_form_normalized,route_raw,route_normalized,application_site,local_spray_inclusion_evidence,indication_raw,indication_normalized,active_ingredient_raw,active_ingredient_normalized,strength,strength_unit,therapeutic_class,license_status,license_expiry_date,applicant,manufacturer,source_id,verified_at,processing_status
spray_0011,衛部藥輸字第029016號,2025,維圖可鼻噴劑7.5毫克,Valtoco (diazepam nasal spray) 7.5 mg,鼻用噴液劑,nasal_spray,詳如仿單,intranasal,nasal,TFDA 劑型=鼻用噴液劑; 用法用量=詳如仿單; 品名=維圖可鼻噴劑7.5毫克/Valtoco (diazepam nasal spray) 7.5 mg. 鼻腔局部使用訊號由劑型/用法或品名交叉支持。,適用於6歲以上癲癇病人，用於急性治療間歇、定型的(stereotypic)頻繁癲癇發作(即叢集性癲癇(seizure clusters)、急性反覆發作)，這些發作與病人通常的癲癇發作模式不同。,適用於6歲以上癲癇病人，用於急性治療間歇、定型的(stereotypic)頻繁癲癇發作(即叢集性癲癇(seizure clusters)、急性反覆發作)，這些發作與病人通常的癲癇發作模式不同。,DIAZEPAM,diazepam,,MG,other_nasal,active,2030/09/08,台灣康聯達股份有限公司,"Renaissance Lakewood, LLC.",tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0012,衛部藥輸字第029017號,2025,維圖可鼻噴劑5毫克,Valtoco (diazepam nasal spray) 5 mg,鼻用噴液劑,nasal_spray,詳如仿單,intranasal,nasal,TFDA 劑型=鼻用噴液劑; 用法用量=詳如仿單; 品名=維圖可鼻噴劑5毫克/Valtoco (diazepam nasal spray) 5 mg. 鼻腔局部使用訊號由劑型/用法或品名交叉支持。,適用於6歲以上癲癇病人，用於急性治療間歇、定型的(stereotypic)頻繁癲癇發作(即叢集性癲癇(seizure clusters)、急性反覆發作)，這些發作與病人通常的癲癇發作模式不同。,適用於6歲以上癲癇病人，用於急性治療間歇、定型的(stereotypic)頻繁癲癇發作(即叢集性癲癇(seizure clusters)、急性反覆發作)，這些發作與病人通常的癲癇發作模式不同。,DIAZEPAM,diazepam,,MG,other_nasal,active,2030/09/08,台灣康聯達股份有限公司,"Renaissance Lakewood, LLC.",tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0013,衛署藥製字第016222號,1978,"""溫士頓""舒鼻喜噴鼻液","SUBICIN NASAL SPRAY ""WINSTON""",鼻用噴液劑,nasal_spray,,intranasal,nasal,"TFDA 劑型=鼻用噴液劑; 用法用量=; 品名=""溫士頓""舒鼻喜噴鼻液/SUBICIN NASAL SPRAY ""WINSTON"". 鼻腔局部使用訊號由劑型/用法或品名交叉支持。",鼻炎、副鼻腔炎、過敏性鼻炎及流鼻水、鼻塞、鼻出血,鼻炎、副鼻腔炎、過敏性鼻炎及流鼻水、鼻塞、鼻出血,NAPHAZOLINE HCL;;DIPHENHYDRAMINE HCL;;PROCAINE HCL,naphazoline,,MG,decongestant,active,2029/12/20,溫士頓醫藥股份有限公司,溫士頓醫藥股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0014,衛署藥製字第016353號,1979,“人人”鼻復寧噴鼻液,"EPHRINE NASAL SPRAY ""GCPC""",鼻用噴液劑,nasal_spray,6歲以下，每次於鼻腔內噴2~3下，每次需間隔10-12小時。未滿6歲，請洽醫師診治。,intranasal,nasal,"TFDA 劑型=鼻用噴液劑; 用法用量=6歲以下，每次於鼻腔內噴2~3下，每次需間隔10-12小時。未滿6歲，請洽醫師診治。; 品名=“人人”鼻復寧噴鼻液/EPHRINE NASAL SPRAY ""GCPC"". 鼻腔局部使用訊號由劑型/用法或品名交叉支持。",暫時緩解因鼻炎、過敏性鼻炎、過敏或感冒引起之鼻塞、流鼻水症狀,暫時緩解因鼻炎、過敏性鼻炎、過敏或感冒引起之鼻塞、流鼻水症狀,OXYMETAZOLINE HCL,oxymetazoline,0.5,MG,decongestant,active,2029/05/25,人人化學製藥股份有限公司,人人化學製藥股份有限公司中壢廠,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0015,衛署藥製字第035546號,1992,"""生達""醫鼻易噴鼻液０．５毫克／毫升（異每達佐林）","SINDECON NASAL SPRAY 0.5MG/ML ""STANDARD"" (OXYMETAZOLINE)",鼻用噴液劑,nasal_spray,6歲以上，每次於鼻腔內噴2-3下，每次需間隔10-12小時；未滿6歲，請洽醫師診治。,intranasal,nasal,"TFDA 劑型=鼻用噴液劑; 用法用量=6歲以上，每次於鼻腔內噴2-3下，每次需間隔10-12小時；未滿6歲，請洽醫師診治。; 品名=""生達""醫鼻易噴鼻液０．５毫克／毫升（異每達佐林）/SINDECON NASAL SPRAY 0.5MG/ML ""STANDARD"" (OXYMETAZOLINE). 鼻腔局部使用訊號由劑型/用法或品名交叉支持。",暫時緩解因鼻炎、過敏性鼻炎、過敏或感冒引起之鼻塞、流鼻水症狀。,暫時緩解因鼻炎、過敏性鼻炎、過敏或感冒引起之鼻塞、流鼻水症狀。,OXYMETAZOLINE HCL,oxymetazoline,0.5,MG,decongestant,active,2027/08/13,生達化學製藥股份有限公司,生達化學製藥股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0016,衛部藥製字第060502號,2020,鼻通敏噴液劑,NAZAL M SPRAY,鼻用噴液劑,nasal_spray,請詳見仿單,intranasal,nasal,TFDA 劑型=鼻用噴液劑; 用法用量=請詳見仿單; 品名=鼻通敏噴液劑/NAZAL M SPRAY. 鼻腔局部使用訊號由劑型/用法或品名交叉支持。,急性鼻炎、過敏性鼻炎、血管舒縮性鼻炎、鼻竇炎、鼻咽炎。,急性鼻炎、過敏性鼻炎、血管舒縮性鼻炎、鼻竇炎、鼻咽炎。,OXYMETAZOLINE HCL,oxymetazoline,,MG,decongestant,active,2030/05/19,佐藤製藥股份有限公司新竹廠,佐藤製藥股份有限公司新竹廠,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0017,衛部藥製字第060851號,2021,"""健喬""帝伏寧137/50定量鼻噴懸液劑",Dufanas Nasal Spray,鼻用懸液劑,nasal_local_other,請詳見仿單,intranasal,nasal,"TFDA 劑型=鼻用懸液劑; 用法用量=請詳見仿單; 品名=""健喬""帝伏寧137/50定量鼻噴懸液劑/Dufanas Nasal Spray. 鼻腔局部使用訊號由劑型/用法或品名交叉支持。",本品適用於治療6歲以上兒童及成人之中度至重度過敏性鼻炎的相關症狀。,本品適用於治療6歲以上兒童及成人之中度至重度過敏性鼻炎的相關症狀。,FLUTICASONE PROPIONATE MICRONIZED;;AZELASTINE HYDROCHLORIDE,fluticasone; azelastine,,MG,corticosteroid; antihistamine; combination,active,2031/04/08,健喬信元醫藥生技股份有限公司,健喬信元醫藥生技股份有限公司健喬廠,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0018,衛署藥製字第017733號,1979,瑞寧噴鼻液（奧每達佐林）,SWININ NASAL SOLUTION (OXYMETAZOLINE),鼻用噴液劑,nasal_spray,詳如仿單,intranasal,nasal,TFDA 劑型=鼻用噴液劑; 用法用量=詳如仿單; 品名=瑞寧噴鼻液（奧每達佐林）/SWININ NASAL SOLUTION (OXYMETAZOLINE). 鼻腔局部使用訊號由劑型/用法或品名交叉支持。,暫時緩解因鼻炎、過敏性鼻炎、過敏或感冒引起之鼻塞、流鼻水症狀,暫時緩解因鼻炎、過敏性鼻炎、過敏或感冒引起之鼻塞、流鼻水症狀,OXYMETAZOLINE HCL,oxymetazoline,0.5,MG,decongestant,active,2029/05/25,瑞士藥廠股份有限公司,瑞士藥廠股份有限公司新市廠,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0019,內衛藥製字第011931號,1970,新黴素鼻孔噴霧劑,"BIOMYCIN NASAL SPRAY ""CBC""",鼻用氣化噴霧劑,nasal_spray,,intranasal,nasal,"TFDA 劑型=鼻用氣化噴霧劑; 用法用量=; 品名=新黴素鼻孔噴霧劑/BIOMYCIN NASAL SPRAY ""CBC"". 鼻腔局部使用訊號由劑型/用法或品名交叉支持。",鼻炎、充血、過敏性鼻炎,鼻炎、充血、過敏性鼻炎,NEOMYCIN SULFATE;;DIPHENHYDRAMINE HCL;;PHENYLEPHRINE;;PREDNISOLONE,neomycin sulfate;;diphenhydramine hcl;;phenylephrine;;prednisolone,50; 2; 50; 10,MG,decongestant; anti_infective; combination,active,2029/05/25,中生生技製藥股份有限公司淡水廠,中生生技製藥股份有限公司淡水廠,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0020,衛部藥輸字第027835號,2020,尼古清戒菸噴霧,Nicorette QuickMist Spray,口腔噴霧溶液劑,oropharyngeal_spray,請詳見仿單,oromucosal_or_throat,oral_mucosal,TFDA 劑型=口腔噴霧溶液劑; 用法用量=請詳見仿單; 品名=尼古清戒菸噴霧/Nicorette QuickMist Spray. 口腔/咽喉局部使用訊號由劑型/用法或品名交叉支持。,戒菸輔助劑。,戒菸輔助劑。,NICOTINE;;NICOTINE,nicotine;;nicotine,,MG,other_oropharyngeal,active,2030/04/06,嘉安家護股份有限公司,香港商臺灣馬士基物流有限公司台灣分公司大同倉,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0021,衛部藥輸字第028906號,2025,日方藥研口腔消炎噴劑,Coughdis AC Throat Spray,外用噴液劑,oropharyngeal_spray,詳見仿單,oromucosal_or_throat,throat,TFDA 劑型=外用噴液劑; 用法用量=詳見仿單; 品名=日方藥研口腔消炎噴劑/Coughdis AC Throat Spray. 口腔/咽喉局部使用訊號由劑型/用法或品名交叉支持。,口腔、咽頭、扁桃腺之消炎、殺菌。,口腔、咽頭、扁桃腺之消炎、殺菌。,AZULENE SODIUM SULFONATE;;Cetylpyridinium Chloride Hydrate,cetylpyridinium,,MG,antiseptic_or_anti_infective,active,2030/04/11,德佑藥品有限公司,"FUKUCHI PHARMACEUTICAL CO., LTD.",tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0022,衛署藥製字第023380號,1981,"""健康""宜鼻噴鼻液","YIPI NASAL SOLUTION ""HEALTH""",鼻用噴液劑,nasal_spray,,intranasal,nasal,"TFDA 劑型=鼻用噴液劑; 用法用量=; 品名=""健康""宜鼻噴鼻液/YIPI NASAL SOLUTION ""HEALTH"". 鼻腔局部使用訊號由劑型/用法或品名交叉支持。",急慢性鼻炎、過敏性鼻炎、副鼻腔炎、鼻塞、鼻充血,急慢性鼻炎、過敏性鼻炎、副鼻腔炎、鼻塞、鼻充血,PROCAINE HCL;;DIPHENHYDRAMINE HCL;;NAPHAZOLINE HCL,naphazoline,0.5; 2.0; 10.0,MG,decongestant,active,2029/02/06,健康化學製藥股份有限公司,健康化學製藥股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0023,衛部藥製字第060919號,2021,"""喜達""鼻炎噴鼻液","Bienpan Nasal Solution ""Cida""",鼻用噴液劑,nasal_spray,請詳見仿單,intranasal,nasal,"TFDA 劑型=鼻用噴液劑; 用法用量=請詳見仿單; 品名=""喜達""鼻炎噴鼻液/Bienpan Nasal Solution ""Cida"". 鼻腔局部使用訊號由劑型/用法或品名交叉支持。",消除鼻粘膜充血、粘膜炎腫、抑制鼻液分泌過多、鼻竇炎、乾草熱及呼吸道過敏。,消除鼻粘膜充血、粘膜炎腫、抑制鼻液分泌過多、鼻竇炎、乾草熱及呼吸道過敏。,OXYMETAZOLINE HCL,oxymetazoline,,MG,decongestant,active,2031/07/09,喜達國際有限公司,羅得化學製藥股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0024,衛部藥製字第060930號,2021,鼻暢順鼻用噴液劑,Bichanshun Nasal Solution,鼻用噴液劑,nasal_spray,請詳見仿單,intranasal,nasal,TFDA 劑型=鼻用噴液劑; 用法用量=請詳見仿單; 品名=鼻暢順鼻用噴液劑/Bichanshun Nasal Solution. 鼻腔局部使用訊號由劑型/用法或品名交叉支持。,消除鼻粘膜充血、粘膜炎腫、抑制鼻液分泌過多、鼻竇炎、乾草熱及呼吸道過敏。,消除鼻粘膜充血、粘膜炎腫、抑制鼻液分泌過多、鼻竇炎、乾草熱及呼吸道過敏。,OXYMETAZOLINE HCL,oxymetazoline,,MG,decongestant,active,2031/07/23,羅得國際有限公司,羅得化學製藥股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0025,衛部藥製字第061922號,2025,"""利達""優利碘喉嚨殺菌噴液劑4.5毫克/毫升","Brightadine Spray for Throat   Solution 4.5 mg/mL ""Lita""",口腔噴液劑,oropharyngeal_spray,詳見仿單。,oromucosal_or_throat,throat,"TFDA 劑型=口腔噴液劑; 用法用量=詳見仿單。; 品名=""利達""優利碘喉嚨殺菌噴液劑4.5毫克/毫升/Brightadine Spray for Throat   Solution 4.5 mg/mL ""Lita"". 口腔/咽喉局部使用訊號由劑型/用法或品名交叉支持。",口腔消毒殺菌。,口腔消毒殺菌。,POVIDONE-IODINE,povidone-iodine,,MG,antiseptic_or_anti_infective,active,2030/01/17,利達製藥股份有限公司,利達製藥股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0026,衛部藥製字第061966號,2025,喉必碘殺菌口腔噴液,Throbidyne Throat Spray,口腔噴液劑,oropharyngeal_spray,詳如仿單,oromucosal_or_throat,throat,TFDA 劑型=口腔噴液劑; 用法用量=詳如仿單; 品名=喉必碘殺菌口腔噴液/Throbidyne Throat Spray. 口腔/咽喉局部使用訊號由劑型/用法或品名交叉支持。,口腔消毒殺菌,口腔消毒殺菌,Povidone lodine,povidone lodine,,MG,antiseptic_or_anti_infective,active,2030/04/21,中國化學製藥股份有限公司新豐工廠,中國化學製藥股份有限公司新豐工廠,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0027,衛署藥製字第043440號,2000,思鼻力鼻通液０．５公絲/公撮,NOSTRA NASAL SPRAY 0.5MG/ML,鼻用噴液劑,nasal_spray,,intranasal,nasal,TFDA 劑型=鼻用噴液劑; 用法用量=; 品名=思鼻力鼻通液０．５公絲/公撮/NOSTRA NASAL SPRAY 0.5MG/ML. 鼻腔局部使用訊號由劑型/用法或品名交叉支持。,暫時緩解因感冒過敏或鼻竇炎所引起之鼻充血。,暫時緩解因感冒過敏或鼻竇炎所引起之鼻充血。,OXYMETAZOLINE HCL,oxymetazoline,0.5,MG,decongestant,active,2029/12/22,五洲製藥股份有限公司,五洲製藥股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0028,衛署藥製字第043489號,2000,"""約克"" 舒鼻爽噴鼻液","SUBISON NASAL SPRAY ""Y.K.""",鼻用噴液劑,nasal_spray,,intranasal,nasal,"TFDA 劑型=鼻用噴液劑; 用法用量=; 品名=""約克"" 舒鼻爽噴鼻液/SUBISON NASAL SPRAY ""Y.K."". 鼻腔局部使用訊號由劑型/用法或品名交叉支持。",鼻炎、副鼻腔炎、過敏性鼻炎所引起之流鼻水、鼻塞及鼻出血。,鼻炎、副鼻腔炎、過敏性鼻炎所引起之流鼻水、鼻塞及鼻出血。,NAPHAZOLINE HCL;;DIPHENHYDRAMINE HCL;;PROCAINE HCL,naphazoline,,MG,decongestant,active,2025/01/28,約克製藥股份有限公司,約克製藥股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0029,衛署藥輸字第021824號,2022,艾麗鼻用噴液劑２．８ＭＧ/ＳＰＲＡＹ,ALLERGOCROM NASAL SPRAY SOLUTION 2.8MG/SPRAY,鼻用噴液劑,nasal_spray,,intranasal,nasal,TFDA 劑型=鼻用噴液劑; 用法用量=; 品名=艾麗鼻用噴液劑２．８ＭＧ/ＳＰＲＡＹ/ALLERGOCROM NASAL SPRAY SOLUTION 2.8MG/SPRAY. 鼻腔局部使用訊號由劑型/用法或品名交叉支持。,過敏性鼻炎,過敏性鼻炎,CROMOLYN SODIUM (EQ TO SODIUM CROMOGLICATE)(EQ TO SODIUM CROMOGLYCATE),cromolyn,20,MG,mast_cell_stabilizer,active,2027/07/24,吉富貿易有限公司,URSAPHARM ARZNEIMITTEL GMBH,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
