商品名,英文品名,許可證字號,藥品分類,劑型,規格,主要成分,適應症摘要,推定用途分類,適應症完整原文,持有廠商,是否有效,備註,資料來源
尼斯達母藥膏,NYSTUM OINTMENT,內衛成製字第000963號,成藥,軟膏劑,塑膠瓶裝,Menthol；Camphor；Methyl salicylate；Eucalyptus Oil (Oleum Eucalypti),燙傷；傷口,燙傷／傷口照護,切傷、擦傷、火傷、凍傷、昆蟲咬傷。,尼斯可生技股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_8d7aa78b-bc90-437c-993a-5d9509d4e9d4?c=2；https://mcp.fda.gov.tw/insert/lablefiles/a9a07f1e-226a-450f-8535-b41fbc468f71_0?c=2
齒治水,TCHHTHUSUI,內衛成製字第000968號,成藥,外用液劑,玻璃瓶裝,Benzocaine,待人工確認,其他常見皮膚外用藥,齒痛,人生製藥股份有限公司,是,適應症摘要待人工確認,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛成製字第000968號；https://mcp.fda.gov.tw/insert/lablefiles/32704978-61ed-4dc8-9a89-5150cfb43f4c_2?c=2
利怕蚊乳膏,REPELLUN CREAM,內衛成製字第000975號,成藥,軟膏劑,瓶裝;;軟管裝,Diethyltoluamide (M),待人工確認,其他常見皮膚外用藥,驅逐蚊、蜱(壁蝨)、蚤。,尼斯可生技股份有限公司,是,適應症摘要待人工確認,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_189718fa-a6e7-4b4a-bfaa-bd476e0eea71?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_15fea53b-eee3-4b7e-8250-f64b250151c7?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_68061ea7-3205-4e9c-bf50-4766d9e33455?c=2；https://mcp.fda.gov.tw/insert/lablefiles/1b9ac00b-d74a-4c4b-865b-9978f653cf09_5?c=2;https://mcp.fda.gov.tw/insert/lablefiles/1b9ac00b-d74a-4c4b-865b-9978f653cf09_7?c=2;https://mcp.fda.gov.tw/insert/lablefiles/1b9ac00b-d74a-4c4b-865b-9978f653cf09_2?c=2
皮速平,BESALBENOL,內衛成製字第000983號,成藥,外用液劑,瓶裝,Salicylic acid；Benzoic Acid；Chlorobutanol (Trichlorisobutylic Alcohol)；Compound Tincture Benzoin,香港腳；灰指甲；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬,自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬,香港腳（水蟲病）、金錢癬、灰指甲、牛皮癬、白癬、黴菌性皮膚病,健康化學製藥股份有限公司,是,依完整適應症判斷為乾癬／牛皮癬，已排除黴菌感染分類。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_3d8438ff-910a-4a6b-aa9f-460796385c8e?c=2；https://mcp.fda.gov.tw/insert/lablefiles/3b606a4a-4ddc-4685-a646-e3a39686ef47_0?c=2
綠靈油,LOLLINE OIL,內衛成製字第001105號,成藥,外用液劑,瓶裝,Menthol；Methyl salicylate,搔癢,蕁麻疹／搔癢,腰酸背痛、頭暈目眩、手足腫傷、蚊蟲咬傷、暈車暈舟、皮膚搔癢,人人化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39
均隆驅風油清香綠,KWAN LOONG MEDICATED OIL FRAGRANT GREEN,內衛成製字第001108號,成藥,外用液劑,玻璃瓶裝,Menthol；Methyl salicylate,搔癢；燙傷,蕁麻疹／搔癢；燙傷／傷口照護,頭眩鼻塞、頭痛、牙痛、散淤止痛、腰酸背痛、精神困倦、中暑、暈浪、蚊蟲咬傷、湯火燙傷、止癢消腫,回春堂製藥廠股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_275a208c-095b-402f-b478-5bff216e3fd3?c=2；https://mcp.fda.gov.tw/insert/lablefiles/c9b9a832-ba99-4642-afe8-97976bbbd95b_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/c9b9a832-ba99-4642-afe8-97976bbbd95b_0?c=2
"""長安""常備軟膏",*,內衛成製字第001138號,成藥,軟膏劑,軟管裝;;盒裝,Camphor；Methyl salicylate；Salicylic acid；White Soft Paraffin (Eq To White Petrolatum)(Eq To Paraffin White Soft)；Beeswax White (White Wax) (Cera Alba),燙傷；傷口；刀傷,燙傷／傷口照護；刀傷外用藥,刀傷、火傷、皮膚濕疥、打撲傷、蟲咬傷、外傷,長安化學工業股份有限公司,是,完整適應症含刀傷，獨立列為刀傷類別。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_006b1907-0294-4b4b-bce0-08bb2bc9f43f?c=2；https://mcp.fda.gov.tw/insert/lablefiles/02da9e36-bf8e-4619-a31a-76697f589d3e_0?c=2
萬綠油,ALL GREEN OIL,內衛成製字第001204號,成藥,外用液劑,瓶裝,Menthol；Camphor；Methyl salicylate；Clove Oil；Citronella Oil,搔癢；燙傷,蕁麻疹／搔癢；燙傷／傷口照護,頭眩鼻塞、頭痛牙痛、手足痠痛、火傷、燙傷、止癢消腫,健康化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39
〝金葫蘆〞五虎油,*,內衛成製字第001241號,成藥,軟膏劑,盒裝,Clove Oil；Cottonseed Oil,搔癢；消炎止痛,蕁麻疹／搔癢；疼痛／消炎止痛外用藥,止癢、蟲咬傷、清涼、鎮痛、齒痛、頭痛、頭暈、神經痛,治痛單股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39
"""明通""舒力黃金油",MIN TONG SHU LI HUANG JIN YOU,內衛成製字第001268號,成藥,軟膏劑,盒裝;;瓶裝,Menthol；Camphor；Clove Oil；Cassia Oil；Nutmeg Oil,搔癢；燙傷；傷口；刀傷,蕁麻疹／搔癢；燙傷／傷口照護；刀傷外用藥,頭暈目眩、腰骨節痛、神經骨痛、牙痛、周身癢痛、手足腫痛、刀傷火傷、咬傷,明通化學製藥股份有限公司第二廠,是,完整適應症含刀傷，獨立列為刀傷類別。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_777b64fa-26a1-4988-84dd-5f3506ec5315?c=2
"""明通""黃金油","HWANG JIN YOU ""MIN TONG""",內衛成製字第001271號,成藥,軟膏劑,鐵盒,Camphor；Cetyl Alcohol (Cetanol)(Alcohol Cetylicus),搔癢；燙傷；傷口；刀傷,蕁麻疹／搔癢；燙傷／傷口照護；刀傷外用藥,心氣肚痛、頭暈目眩、刀傷火傷、周身癢痛、船車之暈、腰骨節痛、手足腫痛,明通化學製藥股份有限公司第二廠,是,完整適應症含刀傷，獨立列為刀傷類別。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_85f8b938-3564-4c05-96c8-d76cde43a939?c=2；https://mcp.fda.gov.tw/insert/lablefiles/d474caa0-c381-4cba-b21b-bc7cb54c585a_1?c=2
金花精,GOLD FLOWER EMBROCATION,內衛成製字第001285號,成藥,外用液劑,瓶裝,Menthol；Methyl salicylate,搔癢；燙傷,蕁麻疹／搔癢；燙傷／傷口照護,頭眩鼻塞、頭痛牙痛、湯火燙傷、舟車暈浪、止癢消腫,三洋藥品工業股份有限公司大發廠,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_90bef701-40a8-4596-a857-4fe485a1c639?c=2；https://mcp.fda.gov.tw/insert/lablefiles/c4056fed-85f6-4d31-b454-d5ea6cf21aa6_0?c=2
綠油精,GREEN OIL,內衛成製字第001347號,成藥,外用液劑,玻璃瓶裝;;玻璃瓶裝(含滾珠),Menthol；Camphor；Methyl salicylate,搔癢；燙傷,蕁麻疹／搔癢；燙傷／傷口照護,頭眩鼻塞、肚痛、頭痛、小兒腹痛、胸肩不舒、蚊蟲咬傷、湯火灼傷、止癢消腫、手足痠痛、肌肉痠痛、暈船、暈車。,新萬仁化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛成製字第001347號；https://mcp.fda.gov.tw/insert/lablefiles/8c249866-832b-4706-a22c-c9d50aeb0984?c=2;https://mcp.fda.gov.tw/insert/lablefiles/494d1f89-e375-42f9-aa7d-bd5e70188fe6?c=2;https://mcp.fda.gov.tw/insert/lablefiles/d24be110-81b9-438a-9cea-bd5b7a52c8f2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/83b5a9b5-2cba-4c7a-96b2-cf242df80cb1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/b475e09d-b811-4775-ab0b-744b5a46e659?c=2
"""明通"" 面達梅軟膏","MENTAM OINTMENT ""MIN TONG""",內衛成製字第001357號,成藥,軟膏劑,塑膠瓶裝,Menthol；Camphor；Methyl salicylate,搔癢；燙傷,蕁麻疹／搔癢；燙傷／傷口照護,火傷、切傷、止癢、暫時緩解頭痛、蟲咬傷、凍傷,明通化學製藥股份有限公司第二廠,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛成製字第001357號；https://mcp.fda.gov.tw/insert/lablefiles/77213323-72ef-4537-8ca0-35c6216128f1_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/77213323-72ef-4537-8ca0-35c6216128f1_6?c=2;https://mcp.fda.gov.tw/insert/lablefiles/77213323-72ef-4537-8ca0-35c6216128f1_11?c=2
"""應元""消毒水","DESINFECT WATER ""Y.Y.""",內衛成製字第002607號,成藥,外用液劑,瓶裝,Cresol,待人工確認,其他常見皮膚外用藥,手指皮膚消毒、手術部位皮膚消毒、膣洗淨,應元化學製藥股份有限公司,是,適應症摘要待人工確認,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39
"""健康""敷可消軟膏","FUCORZONE OINTMENT ""HEALTH""",內衛藥製字第000610號,指示藥,軟膏劑,罐裝,Nitrofurazone,細菌感染；膿皰；燙傷；傷口；消炎止痛,細菌感染／膿皰／傷口感染；燙傷／傷口照護；疼痛／消炎止痛外用藥,創傷、燒傷、潰瘍及皮膚感染疾患之消炎化膿,健康化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第000610號
"""黃氏""好膚康軟膏","HOFUCON OINTMENT ""H.S.""",內衛藥製字第000813號,指示藥,軟膏劑,鋁軟管裝,Diphenhydramine；Prednisolone；Iodochlorhydroxyquin,濕疹；皮膚炎；搔癢；黴菌感染；燙傷；傷口；消炎止痛,濕疹／皮膚炎；蕁麻疹／搔癢；香港腳／股癬／體癬／黴菌感染；燙傷／傷口照護；疼痛／消炎止痛外用藥,蕁麻疹、急慢性濕疹、皮膚炎、蟲咬傷、火傷、藥物疹、嬰兒苔癬、皮膚肛門及外陰部搔癢症、以及皮膚傷口之消炎、殺菌等,黃氏製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第000813號；https://mcp.fda.gov.tw/insert/lablefiles/e6292887-cdc9-439c-8677-66036ea1ee5f?c=2;https://mcp.fda.gov.tw/insert/lablefiles/93430683-8854-4b4a-a50f-2e270c139667?c=2;https://mcp.fda.gov.tw/insert/lablefiles/ed8ccf6d-257f-4b89-b107-05cde101acb7?c=2
"""美""解癢藥膏",CHE-YAN OINTMENT,內衛藥製字第001049號,指示藥,軟膏劑,軟管裝,Menthol；Camphor；Diphenhydramine；Methyl salicylate；Phenol (Carbolic Acid)；Peppermint Oil (Oleum Menth Pip)；Dl-Methylephedrine HCl,濕疹；搔癢,濕疹／皮膚炎；蕁麻疹／搔癢,急、慢性濕疹、皮膚搔癢症、汗疹、癢疹、蕁麻疹、肛門陰部部搔癢症、蚊蟲咬刺傷、痱子疹,長安化學工業股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_160e8ac1-3854-488f-8a9f-640e6faffbda?c=2；https://mcp.fda.gov.tw/insert/lablefiles/6acf0067-fbbb-433d-b61b-ba987d7a9626_0?c=2
得膚欣軟膏,DIFUCIN OINTMENT,內衛藥製字第001602號,處方藥,軟膏劑,軟管裝,Neomycin；Fluocinolone,濕疹；皮膚炎；搔癢；膿皰；燙傷；傷口；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬,濕疹／皮膚炎；蕁麻疹／搔癢；細菌感染／膿皰／傷口感染；燙傷／傷口照護；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬,急、慢性濕疹、乳幼兒濕疹、接觸性皮膚炎、神經性皮膚炎、蕁麻疹、陰部及肛門內搔癢症、蟲刺、乾癬、膿痂疹、創傷、擦傷、火傷、凍瘡,信東生技股份有限公司,是,依完整適應症判斷為乾癬／牛皮癬，已排除黴菌感染分類。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第001602號
"""洸洋""複方碘甘油溶液","GLYCERIUM IODI COMPOSITUM ""K.Y.""",內衛藥製字第002710號,指示藥,外用液劑,玻璃瓶裝;;塑膠瓶裝,Iodine；Potassium Iodide,待人工確認,其他常見皮膚外用藥,咽喉炎,洸洋化學製藥股份有限公司,是,適應症摘要待人工確認,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_58df22b2-3329-4d2d-a3fd-38c2aaa36708?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_0f076f9b-ce78-4817-8179-62e0bceadbc7?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_06a5e463-1f23-4449-aa9b-5ff1280bbbc8?c=2；https://mcp.fda.gov.tw/insert/lablefiles/eeec9d50-dc3c-4432-b06a-0f7547df5847_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/eeec9d50-dc3c-4432-b06a-0f7547df5847_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/eeec9d50-dc3c-4432-b06a-0f7547df5847_0?c=2
〝中美〞複方煤餾油酚溶液,LIQUOR CRESOLIS COMPOSITUS,內衛藥製字第002727號,指示藥,外用液劑,瓶裝;;桶裝,Cresol,待人工確認,其他常見皮膚外用藥,殺菌、消毒劑,中美兄弟製藥股份有限公司,是,適應症摘要待人工確認,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_a8eddfee-7888-4216-a11d-98a8a6064738?c=2；https://mcp.fda.gov.tw/insert/lablefiles/8897d5bc-1808-4fd4-af5a-27a45cd690f6_0?c=2
可麗藥膏,"KERY OINTMENT ""C.C.P.""",內衛藥製字第002746號,指示藥,軟膏劑,軟管裝,Prednisolone；Zinc oxide；Hexachlorophene；Sulfur (Ppt)；Panthenol,青春痘,青春痘外用藥,尋常性痤瘡、尋常性毛瘡,中國化學製藥股份有限公司新豐工廠,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第002746號
樂爾爽－Ｎ軟膏,DONISON-N OINTMENT,內衛藥製字第002759號,指示藥,軟膏劑,軟管裝;;罐裝,Prednisolone；Nitrofurazone,濕疹；皮膚炎；搔癢,濕疹／皮膚炎；蕁麻疹／搔癢,暫時緩解濕疹、尿布疹、蚊蟲叮咬、皮膚搔癢、皮膚炎等皮膚疾患的症狀。,中國化學製藥股份有限公司新豐工廠,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第002759號；https://mcp.fda.gov.tw/insert/lablefiles/263f9947-e701-4e96-bd14-d764ed98c495?c=2;https://mcp.fda.gov.tw/insert/lablefiles/5da37ba4-2ee8-4f0b-b36f-e2fc0ef54a7f?c=2
必治痒藥膏（外用）,"ANTIPRURITIC OINTMENT FOR EXTERNAL USE ""MAY SEE""",內衛藥製字第003332號,指示藥,軟膏劑,塑膠瓶裝;;鋁軟管裝,Menthol；Camphor；Methyl salicylate；Lidocaine；Chlorpheniramine Maleate,皮膚炎；搔癢,濕疹／皮膚炎；蕁麻疹／搔癢,暫時緩解尿布疹、蚊蟲咬傷、皮膚搔癢、皮膚炎等皮膚疾患的症狀。,美西製藥有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第003332號；https://mcp.fda.gov.tw/insert/lablefiles/034b463e-712b-4f6f-95b7-a212cf8612a5?c=2;https://mcp.fda.gov.tw/insert/lablefiles/f89f66b9-9028-45f5-9785-de78e2552899?c=2;https://mcp.fda.gov.tw/insert/lablefiles/2a317852-7c71-4b8f-84e8-98f17e49828a?c=2;https://mcp.fda.gov.tw/insert/lablefiles/a84f9ffb-aaf8-4e60-8d1c-1dfe88aae372?c=2;https://mcp.fda.gov.tw/insert/lablefiles/34bdf7bb-4ec7-486e-8455-7665f513653a?c=2;https://mcp.fda.gov.tw/insert/lablefiles/841aa1d7-b0f1-4540-b823-99d1b2707216_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/9d128004-1bf4-4a5b-bd9c-bdc6b502d72d?c=2;https://mcp.fda.gov.tw/insert/lablefiles/841aa1d7-b0f1-4540-b823-99d1b2707216_7?c=2;https://mcp.fda.gov.tw/insert/lablefiles/841aa1d7-b0f1-4540-b823-99d1b2707216_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/841aa1d7-b0f1-4540-b823-99d1b2707216_6?c=2;https://mcp.fda.gov.tw/insert/lablefiles/841aa1d7-b0f1-4540-b823-99d1b2707216_3?c=2
好皮Ｐ．Ｔ．軟膏（外用）,HAPPY P.T. OINTMENT (EXTERNAL USE),內衛藥製字第003521號,指示藥,軟膏劑,罐裝;;管裝,Prednisolone；Tocopherol；Chlorpheniramine Maleate；Hexachlorophene；Vitamin A,濕疹；皮膚炎；搔癢；傷口,濕疹／皮膚炎；蕁麻疹／搔癢；燙傷／傷口照護,濕疹、藥物疹、過敏性皮膚炎、蕁麻疹、皮膚搔癢症、一般創傷、蟲剌傷、擦傷、痤傷,天下生物科技股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第003521號；https://mcp.fda.gov.tw/insert/lablefiles/af1566f1-0d38-4a27-a17b-fb98e0845bde?c=2;https://mcp.fda.gov.tw/insert/lablefiles/3246fbc8-8731-4911-9883-54772a8aae02?c=2;https://mcp.fda.gov.tw/insert/lablefiles/2b541ebd-d6f1-4241-8e74-dd90c1f8a2b6?c=2
新痔莫痛藥膏,NEO-HEMOTHOL OINTMENT,內衛藥製字第003537號,指示藥,軟膏劑,塑膠瓶裝;;錫軟管裝,Menthol；Lidocaine；Prednisolone；Zinc oxide；Tocopherol；Chlorpheniramine Maleate；Allantoin；Hexachlorophene；Benzocaine；Vitamin A Palmitate；Bismuth；Ephedrine HCl (Eq To Ephedrine Hydrochloride),搔癢；痔瘡；消炎止痛,蕁麻疹／搔癢；痔瘡外用藥；疼痛／消炎止痛外用藥,內外痔、核痔疼痛、痔出血、肛門裂傷、痔？、肛門搔癢症、脫肛、肛門周圍炎、肛門部手術後之疼痛及其他一般肛門疼痛,中國化學製藥股份有限公司新豐工廠,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第003537號；https://mcp.fda.gov.tw/insert/lablefiles/27542c0a-fab4-4937-9146-bd9628e09551?c=2
"""仙台"" 複方碘甘油","GLYCERINUM IODI COMPOSITUM ""Sentai""",內衛藥製字第003687號,指示藥,外用液劑,瓶裝,Iodine；Calcium Iodide,待人工確認,其他常見皮膚外用藥,扁桃腺炎、皮膚病,仙台藥品工業股份有限公司,是,適應症摘要待人工確認,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_ff81411c-6c8a-4a37-8ac5-5860538ca158?c=2；https://mcp.fda.gov.tw/insert/lablefiles/54bdb3b8-822a-484b-bfbb-79883a799a34_0?c=2
